"Id","Data do Sorteio","Coluna 1","Coluna 2","Coluna 3","Coluna 4","Coluna 5","Coluna 6"
"322","12/15/2001","11","18","29","44","47","56"
"","","","","","","",""
"323","12/19/2001","26","31","33","40","49","54"
"","","","","","","",""
"324","12/22/2001","8","15","22","25","30","47"
"","","","","","","",""
"325","12/29/2001","1","3","4","21","23","53"
"","","","","","","",""
"326","1/5/2002","21","23","40","44","51","52"
"","","","","","","",""
"327","1/9/2002","29","32","33","38","46","48"
"","","","","","","",""
"328","1/12/2002","5","7","14","21","23","51"
"","","","","","","",""
"329","1/16/2002","10","11","12","24","35","40"
"","","","","","","",""
"330","1/19/2002","2","4","14","23","37","51"
"","","","","","","",""
"331","1/23/2002","1","13","20","27","35","37"
"","","","","","","",""
"332","1/26/2002","23","28","29","34","42","44"
"","","","","","","",""
"333","1/30/2002","4","27","35","44","52","53"
"","","","","","","",""
"334","2/2/2002","14","23","24","26","41","51"
"","","","","","","",""
"335","2/6/2002","7","23","33","43","57","59"
"","","","","","","",""
"336","2/9/2002","2","18","22","26","30","54"
"","","","","","","",""
"337","2/16/2002","4","14","16","31","52","54"
"","","","","","","",""
"338","2/20/2002","1","4","9","36","46","48"
"","","","","","","",""
"339","2/23/2002","5","12","13","16","27","50"
"","","","","","","",""
"340","2/27/2002","9","10","12","33","42","60"
"","","","","","","",""
"341","3/2/2002","5","16","22","23","43","56"
"","","","","","","",""
"342","3/6/2002","16","29","34","49","51","54"
"","","","","","","",""
"343","3/9/2002","4","6","7","12","24","41"
"","","","","","","",""
"344","3/13/2002","10","12","14","33","35","36"
"","","","","","","",""
"345","3/16/2002","11","22","46","51","56","58"
"","","","","","","",""
"346","3/20/2002","7","12","41","46","56","60"
"","","","","","","",""
"347","3/23/2002","1","10","12","26","48","52"
"","","","","","","",""
"348","3/27/2002","19","30","33","39","40","52"
"","","","","","","",""
"349","3/30/2002","8","9","28","32","38","54"
"","","","","","","",""
"350","4/3/2002","10","15","23","30","43","57"
"","","","","","","",""
"351","4/6/2002","15","16","24","41","59","60"
"","","","","","","",""
"352","4/10/2002","7","20","25","44","47","49"
"","","","","","","",""
"353","4/13/2002","19","23","30","46","55","60"
"","","","","","","",""
"354","4/17/2002","7","16","38","40","41","52"
"","","","","","","",""
"355","4/20/2002","2","14","22","23","37","60"
"","","","","","","",""
"356","4/24/2002","5","19","21","54","56","58"
"","","","","","","",""
"357","4/27/2002","2","30","32","35","45","53"
"","","","","","","",""
"358","5/4/2002","12","17","21","32","40","42"
"","","","","","","",""
"359","5/8/2002","13","19","20","29","31","54"
"","","","","","","",""
"360","5/11/2002","23","24","29","47","53","55"
"","","","","","","",""
"361","5/15/2002","16","28","31","41","45","59"
"","","","","","","",""
"362","5/18/2002","7","20","33","37","46","56"
"","","","","","","",""
"363","5/22/2002","19","29","39","47","49","54"
"","","","","","","",""
"364","5/25/2002","5","29","44","51","57","59"
"","","","","","","",""
"365","5/29/2002","19","23","34","37","52","58"
"","","","","","","",""
"366","6/1/2002","4","6","7","15","21","51"
"","","","","","","",""
"367","6/5/2002","10","12","27","33","49","52"
"","","","","","","",""
"368","6/8/2002","13","29","32","38","44","50"
"","","","","","","",""
"369","6/12/2002","1","14","21","35","42","60"
"","","","","","","",""
"370","6/15/2002","1","4","40","42","51","54"
"","","","","","","",""
"371","6/19/2002","4","18","23","33","39","60"
"","","","","","","",""
"372","6/22/2002","16","17","24","39","46","57"
"","","","","","","",""
"373","6/26/2002","1","5","10","24","31","33"
"","","","","","","",""
"374","6/29/2002","2","5","16","26","44","54"
"","","","","","","",""
"375","7/3/2002","1","5","9","42","51","58"
"","","","","","","",""
"376","7/6/2002","10","13","25","35","43","48"
"","","","","","","",""
"377","7/10/2002","3","12","19","27","45","46"
"","","","","","","",""
"378","7/13/2002","5","38","41","45","48","55"
"","","","","","","",""
"379","7/17/2002","24","33","40","41","55","59"
"","","","","","","",""
"380","7/20/2002","13","22","30","31","47","57"
"","","","","","","",""
"381","7/24/2002","9","10","28","46","55","56"
"","","","","","","",""
"382","7/27/2002","31","34","37","38","53","54"
"","","","","","","",""
"383","7/31/2002","14","22","48","50","53","56"
"","","","","","","",""
"384","8/3/2002","24","28","40","47","50","52"
"","","","","","","",""
"385","8/7/2002","5","12","16","18","22","24"
"","","","","","","",""
"386","8/10/2002","17","35","36","39","43","54"
"","","","","","","",""
"387","8/14/2002","22","28","29","43","47","48"
"","","","","","","",""
"388","8/17/2002","23","36","48","52","53","58"
"","","","","","","",""
"389","8/21/2002","5","14","18","43","46","54"
"","","","","","","",""
"390","8/24/2002","7","12","22","34","38","53"
"","","","","","","",""
"391","8/28/2002","4","7","15","16","35","40"
"","","","","","","",""
"392","8/31/2002","15","23","31","39","47","49"
"","","","","","","",""
"393","9/4/2002","6","12","35","36","40","50"
"","","","","","","",""
"394","9/7/2002","5","15","35","42","45","49"
"","","","","","","",""
"395","9/11/2002","10","11","14","20","31","58"
"","","","","","","",""
"396","9/14/2002","6","18","34","42","45","47"
"","","","","","","",""
"397","9/18/2002","1","2","5","24","32","46"
"","","","","","","",""
"398","9/21/2002","7","16","22","28","36","37"
"","","","","","","",""
"399","9/25/2002","11","16","27","47","55","59"
"","","","","","","",""
"400","9/28/2002","10","13","28","29","54","59"
"","","","","","","",""
"401","10/2/2002","11","18","43","44","50","53"
"","","","","","","",""
"402","10/5/2002","5","16","27","43","56","58"
"","","","","","","",""
"403","10/9/2002","7","16","27","31","46","60"
"","","","","","","",""
"404","10/12/2002","1","24","28","38","40","58"
"","","","","","","",""
"405","10/16/2002","24","29","34","47","57","60"
"","","","","","","",""
"406","10/19/2002","2","12","32","38","47","48"
"","","","","","","",""
"407","10/23/2002","2","18","22","49","51","57"
"","","","","","","",""
"408","10/26/2002","14","28","33","44","49","56"
"","","","","","","",""
"409","10/30/2002","18","25","26","31","34","49"
"","","","","","","",""
"410","11/2/2002","8","24","31","36","38","55"
"","","","","","","",""
"411","11/6/2002","10","12","31","38","45","56"
"","","","","","","",""
"412","11/9/2002","5","12","14","21","45","59"
"","","","","","","",""
"413","11/13/2002","2","4","29","33","35","53"
"","","","","","","",""
"414","11/16/2002","16","26","35","45","52","58"
"","","","","","","",""
"415","11/20/2002","1","4","27","38","42","44"
"","","","","","","",""
